Date,Open,High,Low,Close,Volume,Trend
90117,826.37,830.43,821.62,827.18,1408924
60117,814.99,828.96,811.50,825.21,2017097
50117,807.50,813.74,805.92,813.02,1340535
40117,809.89,813.43,804.11,807.77,1515339
30117,800.62,811.44,796.89,808.01,1959033
301216,803.21,803.28,789.62,792.45,1735879
291216,802.33,805.75,798.14,802.88,1057392
281216,813.33,813.33,802.44,804.57,1214756
271216,808.68,816.00,805.80,809.93,975962
231216,808.01,810.97,805.11,807.80,765537
221216,809.10,811.07,806.03,809.68,1132119
211216,815.72,815.72,805.10,812.20,1459628
201216,813.37,816.49,811.00,815.20,1271883
191216,809.28,816.22,804.50,812.50,1263581
161216,818.31,819.20,808.12,809.84,2598866
151216,817.36,823.00,812.00,815.65,1769719
141216,815.92,824.26,812.78,817.89,1799654
131216,812.39,824.30,811.94,815.34,2128210
121216,804.82,811.35,804.53,807.90,1628602
91216,799.30,809.95,798.05,809.45,1904463
81216,792.95,799.00,787.90,795.17,1612531
71216,779.95,792.00,773.53,791.47,2029415
61216,780.19,785.28,773.32,776.18,1734099
51216,770.00,780.00,766.97,778.22,1688473
21216,761.90,770.50,759.00,764.46,1718846
11216,778.55,778.60,753.36,764.33,2867074
301116,789.10,791.51,773.14,775.88,2279054
291116,788.38,796.44,785.34,789.44,1561981
281116,778.35,799.74,778.10,785.79,2575432
251116,782.61,782.90,778.19,780.23,613549
231116,789.52,789.52,772.65,779.00,1312981
221116,788.99,793.77,783.74,785.00,1394174
211116,778.10,786.55,776.30,784.80,1630835
181116,787.17,791.29,775.35,775.97,1806264
171116,782.50,788.90,779.85,786.16,1533679
161116,770.42,783.50,766.33,779.98,1798360
151116,765.47,780.24,765.22,775.16,2943889
141116,771.76,771.78,743.59,753.22,3688274
111116,776.81,777.29,765.54,771.75,3592641
101116,810.00,810.06,768.23,780.29,5909609
91116,801.83,811.71,792.04,805.59,3098510
81116,802.03,816.04,799.62,811.98,1769069
71116,794.95,805.00,792.90,802.03,1992570
41116,771.30,788.48,771.00,781.10,1970603
31116,784.50,790.00,778.63,782.19,2175216
21116,806.76,806.76,785.00,788.42,2350736
11116,810.87,813.96,798.26,805.48,2355890
311016,822.43,822.63,808.00,809.90,2242679
281016,829.94,839.00,817.00,819.56,4354884
271016,823.01,826.58,814.61,817.35,2973486
261016,827.12,827.71,816.35,822.10,1794868
251016,838.50,838.50,825.30,828.55,1890712
241016,830.09,837.94,829.04,835.74,1447616
211016,820.00,824.29,818.31,824.06,1615814
201016,827.56,828.46,820.55,821.63,1393870
191016,824.52,829.81,823.20,827.09,1500142
181016,814.21,828.81,813.33,821.49,2289265
171016,805.99,813.49,803.83,806.84,1056367
141016,807.45,810.09,802.32,804.60,1111934
131016,806.07,806.56,798.62,804.08,1368981
121016,811.96,814.50,808.55,811.77,907876
111016,814.17,819.86,807.37,809.57,1721575
101016,803.93,817.38,802.24,814.17,1496115
71016,805.93,805.94,796.82,800.71,1163899
61016,804.08,806.94,800.51,803.08,1099909
51016,806.00,808.50,800.71,801.23,1213820
41016,805.00,806.50,799.67,802.79,1258706
